state,state_abbr,year,killed_raw,wounded_raw,victims_raw,incident_count_raw
Alaska,AK,1990,0,0,0,0
Alaska,AK,1991,0,0,0,0
Alaska,AK,1992,0,0,0,0
Alaska,AK,1993,0,0,0,0
Alaska,AK,1994,0,0,0,0
Alaska,AK,1995,0,0,0,0
Alaska,AK,1996,0,0,0,0
Alaska,AK,1997,2,2,4,1
Alaska,AK,1998,0,0,0,0
Alaska,AK,1999,0,0,0,0
Alaska,AK,2000,0,0,0,0
Alaska,AK,2001,0,0,0,0
Alaska,AK,2002,0,0,0,0
Alaska,AK,2003,0,0,0,0
Alaska,AK,2004,0,0,0,0
Alaska,AK,2005,0,0,0,0
Alaska,AK,2006,0,0,0,0
Alaska,AK,2007,0,0,0,0
Alaska,AK,2008,0,0,0,0
Alaska,AK,2009,0,0,0,0
Alaska,AK,2010,0,0,0,0
Alaska,AK,2011,0,0,0,0
Alaska,AK,2012,0,0,0,0
Alaska,AK,2013,0,0,0,0
Alaska,AK,2014,0,0,0,0
Alabama,AL,1990,0,0,0,0
Alabama,AL,1991,0,0,0,0
Alabama,AL,1992,0,0,0,0
Alabama,AL,1993,0,0,0,0
Alabama,AL,1994,0,0,0,0
Alabama,AL,1995,0,0,0,0
Alabama,AL,1996,1,0,1,1
Alabama,AL,1997,0,0,0,0
Alabama,AL,1998,0,0,0,0
Alabama,AL,1999,0,0,0,0
Alabama,AL,2000,0,0,0,0
Alabama,AL,2001,0,0,0,0
Alabama,AL,2002,0,0,0,0
Alabama,AL,2003,0,0,0,0
Alabama,AL,2004,0,0,0,0
Alabama,AL,2005,0,0,0,0
Alabama,AL,2006,0,0,0,0
Alabama,AL,2007,0,0,0,0
Alabama,AL,2008,1,0,1,1
Alabama,AL,2009,0,0,0,0
Alabama,AL,2010,5,3,8,3
Alabama,AL,2011,1,3,4,1
Alabama,AL,2012,1,0,1,1
Alabama,AL,2013,0,0,0,0
Alabama,AL,2014,0,0,0,0
Arkansas,AR,1990,0,0,0,0
Arkansas,AR,1991,0,0,0,0
Arkansas,AR,1992,0,0,0,0
Arkansas,AR,1993,0,0,0,0
Arkansas,AR,1994,0,0,0,0
Arkansas,AR,1995,0,0,0,0
Arkansas,AR,1996,0,0,0,0
Arkansas,AR,1997,0,2,2,1
Arkansas,AR,1998,5,11,16,1
Arkansas,AR,1999,0,0,0,0
Arkansas,AR,2000,2,0,2,1
Arkansas,AR,2001,0,0,0,0
Arkansas,AR,2002,0,0,0,0
Arkansas,AR,2003,0,0,0,0
Arkansas,AR,2004,0,0,0,0
Arkansas,AR,2005,0,0,0,0
Arkansas,AR,2006,0,0,0,0
Arkansas,AR,2007,0,0,0,0
Arkansas,AR,2008,2,1,3,1
Arkansas,AR,2009,0,0,0,0
Arkansas,AR,2010,0,0,0,0
Arkansas,AR,2011,0,0,0,0
Arkansas,AR,2012,0,0,0,0
Arkansas,AR,2013,0,0,0,0
Arkansas,AR,2014,0,0,0,0
Arizona,AZ,1990,0,0,0,0
Arizona,AZ,1991,0,0,0,0
Arizona,AZ,1992,0,0,0,0
Arizona,AZ,1993,0,0,0,0
Arizona,AZ,1994,0,0,0,0
Arizona,AZ,1995,0,0,0,0
Arizona,AZ,1996,0,0,0,0
Arizona,AZ,1997,0,0,0,0
Arizona,AZ,1998,0,0,0,0
Arizona,AZ,1999,0,0,0,0
Arizona,AZ,2000,0,0,0,0
Arizona,AZ,2001,0,0,0,0
Arizona,AZ,2002,4,0,4,1
Arizona,AZ,2003,0,0,0,0
Arizona,AZ,2004,0,0,0,0
Arizona,AZ,2005,0,0,0,0
Arizona,AZ,2006,0,0,0,0
Arizona,AZ,2007,0,0,0,0
Arizona,AZ,2008,0,0,0,0
Arizona,AZ,2009,0,0,0,0
Arizona,AZ,2010,0,0,0,0
Arizona,AZ,2011,0,0,0,0
Arizona,AZ,2012,0,0,0,0
Arizona,AZ,2013,0,0,0,0
Arizona,AZ,2014,0,0,0,0
California,CA,1990,0,0,0,0
California,CA,1991,1,0,1,1
California,CA,1992,4,12,16,2
California,CA,1993,1,0,1,1
California,CA,1994,2,0,2,2
California,CA,1995,0,0,0,0
California,CA,1996,4,3,7,2
California,CA,1997,2,0,2,1
California,CA,1998,2,0,2,1
California,CA,1999,0,0,0,0
California,CA,2000,0,0,0,0
California,CA,2001,4,18,22,3
California,CA,2002,0,0,0,0
California,CA,2003,0,0,0,0
California,CA,2004,0,0,0,0
California,CA,2005,0,0,0,0
